"Reference","Value","Datasheet","Footprint","Qty","DNP"
"IC1","0.96_I2C_OLED","","i2c_oled:0.96_I2C_OLED_NEW_Top","1",""
"J1","Atari","","RND_DSUB:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","1",""
"JP2","P1_GND","~","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm","1",""
"JP3","P2_VCC","~","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm","1",""
"M1,M2,M3,M4","Mounting","~","mounting:M3_pin","4",""
"SW1","S1","","switch_cutout:SW_PUSH_6mm","1",""
"SW2","S2","","switch_cutout:SW_PUSH_6mm","1",""
"SW3","L1","","switch_cutout:SW_PUSH_6mm","1",""
"SW4","R1","","switch_cutout:SW_PUSH_6mm","1",""
"SW5","B2","","switch_cutout:SW_PUSH_6mm","1",""
"SW6","B3","","switch_cutout:SW_PUSH_6mm","1",""
"SW7","B4","","switch_cutout:SW_PUSH_6mm","1",""
"SW8","Fn","","switch_cutout:SW_PUSH_6mm","1",""
"U1","RP2040-Zero","","pi_pico:RP2040-Zero_Clean","1",""
